rule_id,is_active,priority,txn_kind,fingerprint,description_clean_norm,account_name,source,direction,currency,amount_bucket,payee_canonical,category_target,notes
paybox_155,True,0,,paybox,,,,,,,Elian,Going out and restaurants,bootstrap count=1
paybox_156,True,0,,paybox,,,,,,,Hadbara Rehovot,Loans and transfers,bootstrap count=1
paybox_157,True,0,,paybox,,,,,,,Homeopathy,Chugim parents,bootstrap count=1
paybox_158,True,0,,paybox,,,,,,,Ishai gift,Gifts,bootstrap count=1
paybox_159,True,0,,paybox,,,,,,,Mark driving instructor,Mikael teenager 20000,bootstrap count=1
paybox_160,True,0,,paybox,,,,,,,Mikael's teacher,Gifts,bootstrap count=1
paybox_161,True,0,,paybox,,,,,,,Park food,Going out and restaurants,bootstrap count=1
paybox_162,True,0,,paybox,,,,,,,Paybox,Gifts,bootstrap count=1
paybox_163,True,0,,paybox,,,,,,,Paybox,Unexplained expenses,bootstrap count=1
paybox_164,True,0,,paybox,,,,,,,Paybox for someone,Gifts,bootstrap count=1
paybox_165,True,0,,paybox,,,,,,,Pomegrante juice,🛍️Groceries,bootstrap count=1
paybox_166,True,0,,paybox,,,,,,,Sarah Therapist,Medical,bootstrap count=1
paybox_167,True,0,,paybox,,,,,,,Shira Yahav,Chugim parents,bootstrap count=1
paybox_168,True,0,,paybox,,,,,,,Theatre,Chugim,bootstrap count=1
paybox_169,True,0,,paybox,,,,,,,Yaara gift,Gifts,bootstrap count=1
paypal_alipaysinga_170,True,0,,paypal alipaysinga,,,,,,,Ali Express,House and stuff,bootstrap count=1
paypal_alipaysinga_171,True,0,,paypal alipaysinga,,,,,,,Ali Express,Pets,bootstrap count=1
paypal_alipaysinga_172,True,0,,paypal alipaysinga,,,,,,,Ali Express,University,bootstrap count=1
puzzle_outlet_173,True,0,,puzzle outlet,,,,,,,Puzzle outlet Jerusalem,Summer 2024 8000,bootstrap count=2
puzzle_outlet_174,True,0,,puzzle outlet,,,,,,,Soft cookies Jerualem,Summer 2024 8000,bootstrap count=2
reimbursement_yixin_wan_175,True,0,,reimbursement yixin wan,,,,,,,Yixin Wan,University,bootstrap count=1
rewe_duesseldorf_flugh_duesseldorf_176,True,0,,rewe duesseldorf flugh duesseldorf,,,,,,,Rewe Dusseldorf Airport,University,bootstrap count=1
rexail_177,True,0,,rexail,,,,,,,Rexail,🛍️Groceries,bootstrap count=3
roasters_178,True,0,,roasters,,,,,,<=100,Roasters,Going out and restaurants,bootstrap count=13
roasters_180,True,0,,roasters,,,,,,>100,Roasters,🛍️Groceries,bootstrap count=4
rossmann_essen_183,True,0,,rossmann essen,,,,,,,Rossman Essen,University,bootstrap count=1
sebocelm_184,True,0,,sebocelm,,,,,,,Sabo calm,Pilates,bootstrap count=1
sebocelm_185,True,0,,sebocelm,,,,,,,seboclem,House and stuff,bootstrap count=1
sisira_experiment_sisira_kunnath_186,True,0,,sisira experiment sisira kunnath,,,,,,,Subject,University,bootstrap count=4
so_bing_187,True,0,,so bing,,,,,,,So Bing Tel Aviv,Birthdays,bootstrap count=1
so_bing_188,True,0,,so bing,,,,,,,So Bing,Going out and restaurants,bootstrap count=1
spata_189,True,0,,spata,,,,,,,AB Airport,Greece 2025,bootstrap count=1
studio_garazh_eood_sofiya_190,True,0,,studio garazh eood sofiya,,,,,,,Studio Garazh,Bulgaria July 2025,bootstrap count=1
sumup_em_dzhi_bansko_191,True,0,,sumup em dzhi bansko,,,,,,,Sumup Bansko,Bulgaria July 2025,bootstrap count=1
sweet_things_ood_sofia_192,True,0,,sweet things ood sofia,,,,,,,Sweet Things Sofia,Bulgaria July 2025,bootstrap count=2
tasty_bansko_bansko_193,True,0,,tasty bansko bansko,,,,,,,Tasty 75 Bansko,Bulgaria July 2025,bootstrap count=1
terminal_194,True,0,,terminal,,,,,,,Terminal 3,Loans and transfers,bootstrap count=1
terminal_195,True,0,,terminal,,,,,,,Terminal 3,🛍️Groceries,bootstrap count=1
the_alley_196,True,0,,the alley,,,,,,,The Alley Tea Tel aviv,Going out and restaurants,bootstrap count=1
the_integral_dojo_theintegr_197,True,0,,the integral dojo theintegr,,,,,,,Integral dojo,Aikido,bootstrap count=1
the_rova_coffee_house_198,True,0,,the rova coffee house,,,,,,,Rova Coffee House Jerusalem,Summer 2024 8000,bootstrap count=1
tickets_np_הופעות_וכרטיסי_199,True,0,,tickets np הופעות וכרטיסי,,,,,,,Tickets NP,Going out and restaurants,bootstrap count=1
tres_jolie_200,True,0,,tres jolie,,,,,,,Tres Jolie,Going out and restaurants,bootstrap count=1
vimal_chitra_vimal_krishasam_201,True,0,,vimal chitra vimal krishasam,,,,,,,Subject,University,bootstrap count=1
vitina_arkadias_202,True,0,,vitina arkadias,,,,,,,Vitina Arkadius,Greece 2025,bootstrap count=1
vrr_duesseldorf_duesseldorf_203,True,0,,vrr duesseldorf duesseldorf,,,,,,,VRR,University,bootstrap count=1
wolt_204,True,0,,wolt,,,,,,,Wolt,Mikael,bootstrap count=2
